ID	Status	Title	Category	Host	Start	End	Zone	Location	Description
0	Active								
1	Active	Citizen Assembly - General Meeting	CA General	Ramsès	2021-04-14 20:00	2021-04-14 22:00	America/Toronto	https://us02web.zoom.us/j/8914756657	"Join us at Citizen Assembly today to discuss and debate some new topics and ideas.
"
2	Active	Citizen Assembly - General Meeting	CA General	Ramsès	2021-04-21 20:00	2021-04-21 22:00	America/Toronto	https://us02web.zoom.us/j/8914756657	"Join us at Citizen Assembly today to discuss and debate some new topics and ideas.
"
3	Active	Citizen Assembly - General Meeting	CA General	Ramsès	2021-04-28 20:00	2021-04-28 22:00	America/Toronto	https://us02web.zoom.us/j/8914756657	"Join us at Citizen Assembly today to discuss and debate some new topics and ideas.
"
4	Active	Citizen Assembly - General Meeting	CA General	Cezary Jurewicz	2021-04-11 10:00	2021-04-11 12:00	America/Chicago	https://us02web.zoom.us/j/2323002323	"Welcome to the Democratic rEvolution!

This is a session of real citizen democracy. We take turns presenting various ideas to one another for how to improve our society, and we solicit the support of other citizens for our ideas. However, what makes our process extraordinary is our technology. In our Citizen Assemblies we use the Egora networking platform, ""The Worldwide Stock-Market of Ideas"". 

Egora enables everyone to
 1) develop their own political philosophy out of various ideas,
 2) determine which ideas are most strongly supported by the people, and
 3) use a simple algorithm to find the true representatives of the public will (so we can organize to elect them into public office to actually realize our ideas).

Egora platform: https://egora-ilp.org/
Our Promotional video (1 minute): https://www.youtube.com/watch?v=8zwmtHo8hfM
Video presentation of Egora (19 minutes): https://youtu.be/db5nIJVQ-3U
"
5	Active	Citizen Assembly - General Meeting	CA General	Cezary Jurewicz	2021-04-18 10:00	2021-04-18 12:00	America/Chicago	https://us02web.zoom.us/j/2323002323	"Welcome to the Democratic rEvolution!

This is a session of real citizen democracy. We take turns presenting various ideas to one another for how to improve our society, and we solicit the support of other citizens for our ideas. However, what makes our process extraordinary is our technology. In our Citizen Assemblies we use the Egora networking platform, ""The Worldwide Stock-Market of Ideas"". 

Egora enables everyone to
 1) develop their own political philosophy out of various ideas,
 2) determine which ideas are most strongly supported by the people, and
 3) use a simple algorithm to find the true representatives of the public will (so we can organize to elect them into public office to actually realize our ideas).

Egora platform: https://egora-ilp.org/
Our Promotional video (1 minute): https://www.youtube.com/watch?v=8zwmtHo8hfM
Video presentation of Egora (19 minutes): https://youtu.be/db5nIJVQ-3U
"
6	Active	Citizen Assembly - General Meeting	CA General	Cezary Jurewicz	2021-04-25 10:00	2021-04-25 12:00	America/Chicago	https://us02web.zoom.us/j/2323002323	"Welcome to the Democratic rEvolution!

This is a session of real citizen democracy. We take turns presenting various ideas to one another for how to improve our society, and we solicit the support of other citizens for our ideas. However, what makes our process extraordinary is our technology. In our Citizen Assemblies we use the Egora networking platform, ""The Worldwide Stock-Market of Ideas"". 

Egora enables everyone to
 1) develop their own political philosophy out of various ideas,
 2) determine which ideas are most strongly supported by the people, and
 3) use a simple algorithm to find the true representatives of the public will (so we can organize to elect them into public office to actually realize our ideas).

Egora platform: https://egora-ilp.org/
Our Promotional video (1 minute): https://www.youtube.com/watch?v=8zwmtHo8hfM
Video presentation of Egora (19 minutes): https://youtu.be/db5nIJVQ-3U
"
7	Active	Thunderdome Meeting	Thunderdome	Staci Gustafson	2021-04-13 19:00	2021-04-13 21:00	America/Chicago	https://zoom.us/j/2396722616	"Welcome to the thunderdome!

Thunderdome is a 1-hour podcast where we debate an idea on Egora. Featuring hot debato rounds!

Egora platform: https://egora-ilp.org/
Our Promotional video (1 minute): https://www.youtube.com/watch?v=8zwmtHo8hfM
Video presentation of Egora (19 minutes): https://youtu.be/db5nIJVQ-3U
"
8	Active	Thunderdome Meeting	Thunderdome	Staci Gustafson	2021-04-20 19:00	2021-04-20 21:00	America/Chicago	https://zoom.us/j/2396722616	"Welcome to the thunderdome!

Thunderdome is a 1-hour podcast where we debate an idea on Egora. Featuring hot debato rounds!

Egora platform: https://egora-ilp.org/
Our Promotional video (1 minute): https://www.youtube.com/watch?v=8zwmtHo8hfM
Video presentation of Egora (19 minutes): https://youtu.be/db5nIJVQ-3U
"
9	Active	Thunderdome Meeting	Thunderdome	Staci Gustafson	2021-04-27 19:00	2021-04-27 21:00	America/Chicago	https://zoom.us/j/2396722616	"Welcome to the thunderdome!

Thunderdome is a 1-hour podcast where we debate an idea on Egora. Featuring hot debato rounds!

Egora platform: https://egora-ilp.org/
Our Promotional video (1 minute): https://www.youtube.com/watch?v=8zwmtHo8hfM
Video presentation of Egora (19 minutes): https://youtu.be/db5nIJVQ-3U
"
10	Active	Leadership Academy	Leadership	Cezary Jurewicz	2021-04-15 19:00	2021-04-15 21:00	America/Chicago	https://us02web.zoom.us/j/2323002323	Meetup for Citizen Assembly leaders.
11	Active	Leadership Academy	Leadership	Cezary Jurewicz	2021-04-22 19:00	2021-04-22 21:00	America/Chicago	https://us02web.zoom.us/j/2323002323	Meetup for Citizen Assembly leaders.
12	Active	Leadership Academy	Leadership	Cezary Jurewicz	2021-04-29 19:00	2021-04-29 21:00	America/Chicago	https://us02web.zoom.us/j/2323002323	Meetup for Citizen Assembly leaders.